영화명,유형,장르,제작년도,감독,actor
두 번의 결혼식과 한 번의 장례식,극영화,코메디,2012,김조광수,"김동윤,류현경,송용진,정애연,박정표,박수영,이승준,김준범,한승도,장세현,김호연"
돈의 맛,극영화,드라마,2012,임상수,"김강우,윤여정,백윤식,김효진,온주완,마우이 테일러 ,달시 파켓,황정민,권병길,갈소원,이서현,송혜린,김명하,리도프,김보민,홍수지,김하얀,이혜경,박혜조,김지훈,박세용,이도현,남궁선,데릭,양윤영,엄다혜,최은,에이미,유리,라라,마이크,인천 답동 성당 성가대,알렉스,조엘,나스카,조창우,김승필,김슬기,양재준,이찬유,이규화"
내 아내의 모든 것,극영화,"멜로드라마,코메디",2012,민규동,"임수정,이선균,류승룡,이광수,김효준,이도아,김보궁,염해란,이새로미,이진희,김선하,세이마 자스타니아,ADRIENNE ROZA CRISPIM,루나 마야,이한샘),첨몽요,이재희,박현우,최경민,고경민,허형규,정대용,이주선,변정,심혜규,유시은,김병호,김영규,김재헌,나귀화,나희승,전슨엽,한상준,황성열,VIVID,강석우,김선일,홍기준,조용현,김혜지,형진하,안성훈,김가빈,김휘수,박민우,박선주,한성용,이도윤,신정원,김선우,유코 카토,김은향,김민석,신경철,김도균,강희중,옥광희,최차원,남상란,정호순,정다희,김경민,최유리,김해민,강필석,김지영,이성민,김정태,김보영,이달형,박희본,이세영,오나라,조한철,남명렬,정성화"
할머니는 1학년,극영화,"드라마,가족",2012,진광교,"김진구,신채연,팜끼우투,김경애,김광식,김일구,황원오,백애경,조호천,장병표,유다은,문성진,문주연,황병돈,최은희,이경주,김재현,정순녀,김희동,조옥자,김후남,정해연,장계호,김분학,신규승,한태섭,손상순,김종현,천병숙,이민교,심규석,이금자,장계용,김분석,김춘금,이상률,이유철,임태순,김진현,김용일,김광현,김필자,심규진,지성례,도현지,느고티김람,쩐티만,이명례,김나원,박세원,박인혁,손수경,오지후,유한정,이경채,조아현,조호천"
유치원생 성폭력 예방,극영화,드라마,2012,김영한,윤혜란
천국의 아이들,극영화,드라마,2012,박흥식,"유다인,박지빈,김보라,이지웅,김범준,이연호,홍예은,손태욱,천영민,이수빈,함성은,박선영,민복기,이대연,오나라,성열석,박소영,김하연,성수연,진유빈,우지연,이민주,최원태,박현우,임성호,이지선,김재록,하지완,신동환,김진태,안국진,오주희,강성진,박보영,김소속,김도연,김창환,박종현,방승호,신동진,이평근,김성호,조정호,윤경희,이주신,박진영,우보경,윤상윤,박선미,한태순,이송광,조우형,이재한,박대건,최민규,강태훈,유현준,김희준,김홍진,채민지,이대경,권영각,천영재,차병준,이윤진,신은하,유승혜,송지선,박선현,이현정,장미희,이의철,김한결,이한나,안선영,김수정,최지민,김형진"
도둑들,극영화,"드라마,액션",2012,최동훈,"김윤석,이정재,김혜수,전지현,임달화,김해숙,오달수,김수현,증국상,주진모,기국서,최덕문,채국희,예수정,이심결,신하균,나광훈,김강우,최진호,손병욱,김주명,손민목,홍원기,서영주,지건우,권문철,김영민,박태경,김청옥,김영웅,장준녕,이해성,김호민,조은호,김다혜,이은채,김주연,김준우,정윤헌,장현문,이규회,김육룡,이유수,윤효식,이주원,김윤태,장동,유명철,한규석,조상원,만 퐁,피터 찬,트위티 웡,소 와이 남,다이 소,케이크 왕,알렉스 두,브라이언 리,조니 램,이명훈,데렉 램,아이시 후이,찬힝홍,로이 쳉,켈빈 찬,신다 후이,잭 로우,오스카 리,프랭키 루크,빈센트 치,김순홍,김종석,김도한,이재희,성치호"
나는 왕이로소이다,극영화,"드라마,시대극/사극,코메디",2012,장규성,"주지훈,백윤식,변희봉,박영규,임원희,김수로,이하늬,백도빈,이미도,김소현,서태화,임형준,김응수,윤기원,윤경호,이재구,원근희,이일섭,김현우,최광덕,이철희,김왕근,이호연,변주현,박준서,강남현,이림,이광세,김지선,김좌형,이도윤,최대원,강부현,권혁수,임현철,강현식,임학순,이상협,유병선,한경석,이법왕,이정훈,천용진,장익현,손광익,최교식,이창세,현철호,구본임,황순혁,이재희,장태민,한성용,김형주,김정훈,하정훈,백승두,김상용,신승훈,장정국,허정범,김재현,송우빈,양명헌,우미화,김소연,정지현,허인구,한석원,함진성,조대희,김대웅,유지혜,노형원,박세아,전지혜,이연임,윤지호,이한나,이진아,홍인아,유애경,박혜민,김지영,한여울,이한나,오진하,지혜숙,이은경,홍미려,염수진,정진선,고은별,김민정,성보라,도혜진,정민주,구민지,조미초"
미운오리새끼 ,극영화,"드라마,코메디",2012,곽경택,"김준구 ,오달수,조지환,고영일 ,정예진,박혜선,김정우"
시체가 돌아왔다,극영화,"드라마,범죄",2012,우선호,"이범수,류승범,김옥빈,정만식,유다인,신정근,고창석,정인기,오정세,배정남,이원,김창회,이우진,최설화,손종학,한성용,박혜인,매튜 도우마,우정국,조지환,박태성,이승로,오경택,이우림,최동헌,윤석진,최태환,김병오,서성만,여민정,이응재,최우철,김보궁 ,박보경,곽지연,민병호,문정호,최우철,이종형,임희진,남경읍,갤럭시 익스프레스,김대호,오창경"
